sentence	label_name	label_ID	Language	Gnumebr
"""Immigrants contribute to the economy by creating businesses and jobs.”"	Economic	1	en	G01353043
"""The cost of deporting all undocumented immigrants in the US would be over $125 billion.”"	Political	13	en	G01353043
"""Immigrants pay more in taxes than they receive in benefits."""	Economic	1	en	G01353043
"""The lack of affordable housing is a major challenge for immigrants in urban areas.”"	Capacity and Resources	2	en	G01353043
"""The US economy would lose $1.6 trillion over the next 10 years if DACA recipients were deported.”"	Economic	1	en	G01353043
"""Same-sex marriage legalization leads to an increase in tourism revenue.”"	Economic	1	en	G01353043
"""Denying same-sex couples the right to marry has a negative economic impact on businesses.”"	Economic	1	en	G01353043
"""The legalization of same-sex marriage can result in increased sales for wedding-related businesses.”"	Economic	1	en	G01353043
"""The cost of denying same-sex couples the right to marry includes legal fees and lost revenue from tourism and businesses.”"	Security and defense 	8	en	G01353043
"""LGBTQ immigrants face significant challenges in accessing healthcare due to their status.”"	Health and safety	9	en	G01353043
"""The immigration system is currently overwhelmed, leading to delays in processing and backlogs in immigration courts.”"	Crime and punishment	7	en	G01353043
"""The cost of detaining immigrants in the US is over $2 billion annually.”"	Capacity and resources 	2	en	G01353043
"""The lack of legal representation for immigrants in deportation proceedings can result in unjust deportations.”"	Crime and punishment	7	en	G01353043
"""The availability of affordable childcare is crucial for immigrant families.”"	Morality	3	en	G01353043
"""The economic benefits of immigration are spread across different sectors, including agriculture, hospitality, and technology.”"	Economic	1	en	G01353043
"""The capacity of the US immigration system to process asylum seekers is strained, leading to long wait times and backlogs.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""The benefits of legalizing undocumented immigrants include increased tax revenue and economic growth.”"	Economic	1	en	G01353043
"""Immigrants are essential to the US healthcare system, with over 28% of healthcare workers being foreign-born.”"	Health and safety	9	en	G01353043
"""The current system of family-based immigration favors those with family ties, rather than prioritizing economic needs.”"	"Policy prescription and
evaluation"	6	en	G01353043
"""Immigrants contribute to the diversity and cultural richness of society, which has economic and social benefits.”"	Economic	1	en	G01353043
"""All individuals should have the same opportunity to live and work in the United States, regardless of their country of origin.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""The denial of marriage equality is a violation of the fundamental rights of LGBTQ individuals, who should have the same legal protections as everyone else.”"	"Policy prescription and
evaluation"	6	en	G01353043
"""Immigrants contribute to our economy, our culture, and our communities, and we must ensure that they are treated fairly and with respect.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""We must work to eliminate barriers to immigration and ensure that everyone has access to the same opportunities, regardless of their background.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""Same-sex couples deserve the same legal recognition and protections as opposite-sex couples, and we must work to ensure that they have access to these rights.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""We cannot allow discrimination against immigrants or LGBTQ individuals, and we must work to create a more just and equitable society for all.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""As a Christian, I believe that all people are made in the image of God and deserve to be treated with dignity and respect, regardless of their country of origin.”"	Morality	3	en	G01353043
"""It is not fair to deny individuals the ability to live and work in the United States simply because of where they were born.”"	"Legality, constitutionality and jurisprudence"	5	en	G01353043
"""Religious freedom is a fundamental human right, and we must ensure that our immigration policies do not discriminate against individuals on the basis of their faith.”"	Morality	3	en	G01353043
"""The Bible calls on us to love our neighbors as ourselves, and this includes those who have come to our country seeking refuge.”"	Morality	3	en	G01353043
