sentence	label_name	label_ID	Language	gnumber
"""Immigrants contribute to the economy by creating businesses and jobs.”"	Economic	1	en	G01351583
"""The cost of deporting all undocumented immigrants in the US would be over $125 billion.”"	Economic	1	en	G01351583
"""Immigrants pay more in taxes than they receive in benefits."""	Economic	1	en	G01351583
"""The lack of affordable housing is a major challenge for immigrants in urban areas.”"	Capacity and Resources	2	en	G01353043
"""The US economy would lose $1.6 trillion over the next 10 years if DACA recipients were deported.”"	Economic	1	en	G01351583
"""Same-sex marriage legalization leads to an increase in tourism revenue.”"	Economic	1	en	G01351583
"""Denying same-sex couples the right to marry has a negative economic impact on businesses.”"	Economic	1	en	G01351583
"""The legalization of same-sex marriage can result in increased sales for wedding-related businesses.”"	Economic	1	en	G01351583
"""The cost of denying same-sex couples the right to marry includes legal fees and lost revenue from tourism and businesses.”"	Economic	1	en	G01351583
"""LGBTQ immigrants face significant challenges in accessing healthcare due to their status.”"	Health and safety	9	en	G01353043
"""The immigration system is currently overwhelmed, leading to delays in processing and backlogs in immigration courts.”"	Capacity and Resources	2	en	G01353043
"""The cost of detaining immigrants in the US is over $2 billion annually.”"	Economic	1	en	G01351583
"""The lack of legal representation for immigrants in deportation proceedings can result in unjust deportations.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""The availability of affordable childcare is crucial for immigrant families.”"	Capacity and Resources	2	en	G01351583
"""The economic benefits of immigration are spread across different sectors, including agriculture, hospitality, and technology.”"	Economic	1	en	G01351583
"""The capacity of the US immigration system to process asylum seekers is strained, leading to long wait times and backlogs.”"	Capacity and Resources	2	en	G01351583
"""The benefits of legalizing undocumented immigrants include increased tax revenue and economic growth.”"	Economic	1	en	G01353043
"""Immigrants are essential to the US healthcare system, with over 28% of healthcare workers being foreign-born.”"	Health and safety	9	en	G01353043
"""The current system of family-based immigration favors those with family ties, rather than prioritizing economic needs.”"	Fairness and Equality	4	en	G01351583
"""Immigrants contribute to the diversity and cultural richness of society, which has economic and social benefits.”"	Morality	3	en	G01351583
"""All individuals should have the same opportunity to live and work in the United States, regardless of their country of origin.”"	Fairness and Equality	4	en	G01351583
"""The denial of marriage equality is a violation of the fundamental rights of LGBTQ individuals, who should have the same legal protections as everyone else.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Immigrants contribute to our economy, our culture, and our communities, and we must ensure that they are treated fairly and with respect.”"	Fairness and Equality	4	en	G01351583
"""We must work to eliminate barriers to immigration and ensure that everyone has access to the same opportunities, regardless of their background.”"	Fairness and Equality	4	en	G01351583
"""Same-sex couples deserve the same legal recognition and protections as opposite-sex couples, and we must work to ensure that they have access to these rights.”"	Morality	3	en	G01351583
"""We cannot allow discrimination against immigrants or LGBTQ individuals, and we must work to create a more just and equitable society for all.”"	Fairness and Equality	4	en	G01351583
"""As a Christian, I believe that all people are made in the image of God and deserve to be treated with dignity and respect, regardless of their country of origin.”"	Morality	3	en	G01351583
"""It is not fair to deny individuals the ability to live and work in the United States simply because of where they were born.”"	Morality	3	en	G01351583
"""Religious freedom is a fundamental human right, and we must ensure that our immigration policies do not discriminate against individuals on the basis of their faith.”"	Morality	3	en	G01351583
"""The Bible calls on us to love our neighbors as ourselves, and this includes those who have come to our country seeking refuge.”"	Morality	3	en	G01351583
"""We must ensure that all individuals have access to affordable healthcare, education, and housing, regardless of their race, ethnicity, or sexual orientation.”"	Fairness and Equality	4	en	G01351583
"""It is not only a moral imperative, but a biblical mandate to care for the stranger, the foreigner, and the immigrant in our midst.”"	Morality	3	en	G01351583
"""As people of faith, we cannot turn a blind eye to the suffering of immigrants, who are often fleeing violence and persecution in their home countries.”"	Morality	3	en	G01351583
"""We must work to eliminate discrimination in all its forms and ensure that every individual is treated with dignity and respect.”"	Fairness and Equality	4	en	G01351583
"""We must remember that every person is deserving of respect and dignity, regardless of their immigration status.”"	Fairness and Equality	4	en	G01351583
"""As Christians, we must stand with our immigrant brothers and sisters and advocate for just and compassionate immigration policies.”"	Morality	3	en	G01351583
"""The way we treat immigrants reflects our values as a society, and we must ensure that we are living up to our moral obligations to protect the vulnerable.”"	Morality	3	en	G01351583
"""We cannot forget that many of our own ancestors were once immigrants themselves, and we have a duty to welcome those who are following in their footsteps.”"	Morality	3	en	G01351583
"""As people of faith, we must recognize the inherent dignity of every human being, regardless of their race, nationality, or sexual orientation.”"	Morality	3	en	G01351583
"""Immigration law is one of the most complex areas of American law and policy, and its complexity and dynamism have only increased in recent years.”"	Policy prescription and evaluation	6	en	G01353043
"""The legalization of same-sex marriage was not only a legal victory, but a cultural and social one as well.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""The constitutionality of immigration policies has been the subject of much debate and litigation in recent years, particularly in the context of executive orders.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""The Supreme Court's decision in Obergefell v. Hodges marked a major milestone in the struggle for LGBTQ+ rights and the recognition of same-sex marriage as a fundamental right.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Immigration policy should strike a balance between maintaining national security and respecting the rights and dignity of immigrants and refugees.”"	Policy prescription and evaluation	6	en	G01351583
"""The legal framework surrounding immigration in the United States is a patchwork of federal, state, and local laws and regulations that often conflict with one another.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""The legalization of same-sex marriage has profound implications for the recognition and protection of LGBTQ+ rights, as well as for the institution of marriage itself.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""The constitutionality of immigration policies must be evaluated not only in terms of their impact on individuals and communities, but also in terms of their conformity with international human rights norms and standards.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Policies aimed at addressing the challenges of immigration must recognize the complex and diverse needs of immigrant communities, and must be grounded in principles of fairness, equity, and justice.”"	Policy prescription and evaluation	6	en	G01351583
"""The Supreme Court's jurisprudence on same-sex marriage has evolved significantly over the past few decades, reflecting a broader shift in societal attitudes towards LGBTQ+ rights and equality.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Immigration policies that are overly punitive and restrictive can undermine the rule of law and erode the legitimacy of government institutions.”"	Policy prescription and evaluation	6	en	G01351583
"""The constitutionality of same-sex marriage bans was ultimately decided by the Supreme Court based on principles of equal protection and due process under the law.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Immigration policy is not just a matter of national security, but also a matter of economic and social policy, as immigrants play a vital role in many sectors of the U.S. economy.”"	Policy prescription and evaluation	6	en	G01351583
"""The legalization of same-sex marriage has been a crucial step in the fight for LGBTQ+ rights, but there is still much work to be done to ensure full equality and protection under the law.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""The legal and policy frameworks surrounding immigration detention and deportation are often marked by opacity, arbitrariness, and lack of due process.”"	Policy prescription and evaluation	6	en	G01351583
"""The constitutionality of same-sex marriage bans was ultimately decided by the Supreme Court based on principles of equal protection and due process under the law.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Immigration policy should be grounded in evidence-based research and analysis, rather than political rhetoric and fear-mongering.”"	Policy prescription and evaluation	6	en	G01351583
"""The legalization of same-sex marriage has had a transformative effect on the lives of LGBTQ+ couples and families, but there is still much work to be done to address discrimination and stigma.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
"""Policies aimed at addressing the challenges of immigration must be designed with the participation and input of immigrant communities and their advocates, to ensure that they are responsive to their needs and priorities.”"	Policy prescription and evaluation	6	en	G01351583
"""The constitutionality of immigration policies and executive orders has been the subject of intense scrutiny and litigation, reflecting deep divisions in American society over issues of immigration and national identity.”"	"Legality, constitutionality and jurisprudence"	5	en	G01351583
The criminalization of immigration has resulted in a system that punishes those seeking refuge and threatens the safety of our communities.	Crime and Punishment	7	en	G01351583
