sentence	label_name	label_ID	Language	GNumber
"""Immigrants in the United States contribute $2 trillion to the economy each year, according to a new report from the National Immigration Forum."""	Economics	1.0	en	G01349260
"""Denying marriage equality to same-sex couples would cost the U.S. economy nearly $3.8 billion, according to a study released Monday by the Williams Institute at UCLA School of Law."""	Economics	1.0	en	G01349260
"""Immigrants make up 17 percent of the U.S. labor force, but contribute 18 percent of the country's GDP, according to a report by the Migration Policy Institute."""	Economics	1.0	en	G01349260
"""Allowing same-sex couples to marry would have a positive impact on the economy, according to a study released by the U.S. Chamber of Commerce."""	Economics	1.0	en	G01349260
"""Immigrants pay billions of dollars in taxes and contribute billions of dollars to the economy, according to a report by the Institute on Taxation and Economic Policy."""	Economics	1.0	en	G01349260
"""The UK's economy could lose up to £7 billion annually due to post-Brexit immigration policies, according to a report by Oxford Economics."""	Economics	1.0	En	G01349260
"""In the U.S., same-sex couples who are legally married are estimated to have added $3.8 billion to the economy in the two years following the Supreme Court’s landmark 2015 ruling, according to a study by the Williams Institute."""	Economics	1.0	en	G01349260
"""Immigrants have been found to contribute more in taxes than they receive in benefits in both the US and the UK, according to separate studies by the National Academies of Sciences and the University College London."""	Economics	1.0	en	G01349260
"""Research shows that undocumented immigrants contribute billions of dollars to the US economy each year through payroll and sales taxes, consumer spending, and entrepreneurship.”"	Economics	1.0	en	G01349260
"""A 2019 report by the National Foundation for American Policy found that immigrants founded more than half of US startups valued at $1 billion or more, highlighting their significant contribution to the country's economy.”"	Economics	1.0	en	G01349260
"""The influx of refugees and immigrants in Europe has put a strain on housing and social services in some countries, leading to tensions and debates over immigration policies and cultural integration.”"	Capacity and resources	2.0	en	G01349260
"""The Trump administration's policy of separating families at the border has been criticized for its harmful impact on children's mental health and well-being, as well as for its violation of human rights and international law.”"	Capacity and resources	2.0	en	G01349260
"""Legal recognition of same-sex marriage has been shown to have positive effects on the mental health and well-being of LGBT individuals, as well as on the social attitudes and perceptions of the wider community towards LGBT rights."""	Capacity and resources	2.0	en	G01349260
"""The UK government's hostile environment policy, which aimed to make it difficult for undocumented immigrants to access essential services such as healthcare and housing, has been criticized for exacerbating inequalities and discrimination against ethnic minority groups.”"	Capacity and resources	2.0	en	G01349260
"""Immigrants have made significant contributions to the cultural and economic fabric of many countries, including the US, where immigrants have founded some of the country's most successful companies and have been integral to the development of its diverse cultural landscape.”"	Capacity and resources	2.0	en	G01349260
"""The US immigration system is facing a backlog of more than 1.2 million cases, resulting in long wait times and delays for individuals seeking visas, according to data from the Transactional Records Access Clearinghouse at Syracuse University.”"	Capacity and resources	2.0	en	G01349260
"""The UK's immigration system may struggle to cope with the demands of a post-Brexit economy due to shortages of immigration officers and resources, according to a report by the Institute for Government.”"	Capacity and resources	2.0	en	G01349260
"""Many US states are experiencing a shortage of healthcare workers, including doctors and nurses, which could be worsened by a reduction in immigration levels, according to a report by the Migration Policy Institute.”"	Capacity and resources	2.0	en	G01349260
"""Canada's aging population and low birth rate are leading to a shortage of workers in key industries, making immigration an important source of talent and labor, according to a report by the Conference Board of Canada.”"	Capacity and resources	2.0	en	G01349260
"""The lack of legal protections for same-sex couples in many countries can lead to challenges in accessing healthcare, inheritance rights, and other essential services, according to a report by the World Health Organization.”"	Capacity and resources	2.0	en	G01349260
"""The Catholic Church's stance on same-sex marriage has been a topic of debate and controversy, with some advocates for LGBT rights calling for a more inclusive and accepting approach, while others argue that same-sex marriage goes against traditional Catholic teachings.”"	Morality	3.0	en	G01349260
"""Many religious groups, including evangelical Christians and conservative Muslims, oppose same-sex marriage on the basis of religious and moral beliefs, while others argue that denying same-sex couples the right to marry is a form of discrimination and a violation of human rights.”"	Morality	3.0	en	G01349260
"""The US government's policy of separating families at the border has been condemned by many religious leaders and organizations as a violation of human dignity and a betrayal of Christian values of compassion and empathy."""	Morality	3.0	en	G01349260
"""The UK government's 'right to rent' policy, which requires landlords to check the immigration status of tenants, has been criticized for discriminating against ethnic minority groups and for encouraging xenophobia and racism.”"	Morality	3.0	en	G01349260
"""The ethical implications of immigration policies, such as family separation and the deportation of undocumented immigrants, have been debated by policymakers, legal experts, and human rights advocates, with some arguing that such policies violate fundamental human rights and moral principles.”"	Morality	3.0	en	G01349260
"""The debate over immigration policy often raises ethical questions about the responsibilities of wealthy nations to provide aid and assistance to refugees and migrants, particularly those who are fleeing from war, persecution, or poverty.”"	Morality	3.0	en	G01349260
"""Some religious leaders and organizations have voiced support for immigrant rights, citing the moral obligation to welcome the stranger and to treat all individuals with dignity and respect.”"	Morality	3.0	en	G01349260
"""Opponents of same-sex marriage argue that it goes against traditional family values and moral principles, and that legal recognition of same-sex relationships will lead to the erosion of religious freedom and moral standards.”"	Morality	3.0	en	G01349260
"""The ethical implications of denying asylum to refugees and migrants have been widely debated, with some arguing that it is a violation of human rights and a betrayal of moral principles, while others argue that it is necessary to protect national security and sovereignty.”"	Morality	3.0	en	G01349260
"""The morality of immigration policies is often framed in terms of justice and fairness, with advocates calling for policies that are guided by principles of human dignity, equality, and respect for human rights.”"	Morality	3.0	en	G01349260
"""Proponents of same-sex marriage argue that denying same-sex couples the right to marry is a form of discrimination and a violation of basic human rights and equality.”"	Fairness and equality	4.0	en	G01349260
"""Immigrant rights advocates argue that current immigration policies are unfair and unequal, disproportionately affecting people of color and low-income communities.”"	Fairness and equality	4.0	en	G01349260
"""The issue of same-sex marriage is often framed in terms of fairness and equal treatment under the law, with advocates calling for legal recognition of same-sex relationships and the same rights and benefits afforded to opposite-sex couples.”"	Fairness and equality	4.0	en	G01349260
"""Immigrant communities have long faced systemic inequality and discrimination, with limited access to education, healthcare, and job opportunities.”"	Fairness and equality	4.0	en	G01349260
"""The unequal distribution of resources and opportunities among immigrant and native-born populations has been widely documented, with immigrant communities often facing greater economic and social challenges.”"	Fairness and equality	4.0	en	G01349260
"""Critics of current immigration policies argue that they unfairly prioritize highly skilled and wealthy immigrants, while neglecting the needs and rights of low-skilled and undocumented immigrants.”"	Fairness and equality	4.0	en	G01349260
